Date,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2004-01-01,465.38,347.74,547.3,381.35,295.73,377.25,290.6,302.65,312.54,617.68,292.43,283.03,320.3,291.23,415.06,394.73,378.14,328.15,318.25,365.97
2004-02-01,466.08,347.87,547.3,381.76,295.73,377.47,291.02,303.26,312.77,617.91,292.87,283.35,320.46,291.57,415.2,395.26,378.63,328.32,318.25,366.38
2004-03-01,466.87,347.96,547.3,382.23,296.02,377.62,291.31,303.97,313.36,620.44,293.41,283.72,320.62,291.79,415.34,395.75,379.34000000000003,328.55,318.45,366.92
2004-04-01,468.0,347.9,547.3,382.69,295.98,377.37,291.52,304.54,313.76,621.81,293.68,283.86,320.72,291.88,415.45,395.88,379.79,328.67,318.57,367.17
2004-05-01,469.34000000000003,347.84000000000003,547.3,382.7,295.87,377.0,291.5,304.6,313.84,622.0,293.7,283.9,320.7,291.9,415.5,395.9,382.4,328.6,318.6,367.2
2004-06-01,469.9,347.61,544.5333333333334,382.53,295.66,376.21,291.25,304.29,313.66,622.17,293.42,283.61,320.43,291.59,415.35,395.72,380.13,328.35,318.38,366.88
2004-07-01,469.43,347.21,541.7666666666667,382.0,294.7933333333334,377.7,290.85,303.62,315.65,622.13,292.83,283.03,319.94,291.17,415.05,395.43,382.92,327.89,318.03,366.45
2004-08-01,468.96,346.92,539.0,381.35,293.9266666666667,374.23,290.13,302.31,312.18,622.01,291.76,282.03,319.44,290.59,414.76,395.08,379.34000000000003,327.16,316.84,365.75
2004-09-01,468.06,346.71,538.4300000000001,380.38,293.06,373.27,289.32,301.19,311.24,621.88,290.55,281.22,319.22,289.98,414.57,394.34,378.46,326.21,316.91,365.04
2004-10-01,467.86,367.37,538.17,379.67,293.06,372.86,288.82,300.72,310.82,621.68,290.04,281.0,319.03,289.74,414.38,393.72,377.9,325.46,316.69,364.73
2004-11-01,468.02,346.85,538.44,379.46,293.39,372.74,288.65,300.52,310.61,621.72,290.0,280.95,318.85,289.71,414.36,393.54,377.76,325.1,316.58,364.65
2004-12-01,468.25,347.03,538.8,379.49,293.84,372.86,288.74,300.68,310.79,622.01,290.18,281.18,318.9,289.85,414.47,393.69,377.92,325.15,316.7,364.8
2005-01-01,468.62,347.2,540.05,379.64,294.14,373.02,288.9,300.91,310.92,622.35,290.39,281.44,319.06,290.04,414.63,393.88,378.12,325.32,316.94,364.97
2005-02-01,469.03,347.33,540.21,380.06,294.45,373.4,289.54,301.84,311.24,622.94,291.31,282.11,319.28,290.36,414.85,394.33,378.39,325.6,317.25,365.46
2005-03-01,469.45,347.28,540.3199999999999,380.53,294.82,374.11,290.15,302.81,311.88,624.64,292.99,282.84,319.6,290.53,415.04,395.18,380.73,325.92,317.63,365.9
2005-04-01,469.94,346.81,540.27,380.73,295.05,374.52,290.59,303.66,312.38,626.19,293.57,283.24,319.81,290.65,415.17,395.75,379.08,326.22,317.89,366.17
2005-05-01,470.57,346.69,540.04,380.64,294.83,374.53,290.63,303.81,312.27,626.55,293.52,283.18,319.76,290.76,415.26,395.85,379.27,326.26,317.8,366.23
2005-06-01,470.64,346.5,539.8,380.45,294.16,374.28,290.51,303.63,312.18,626.53,293.17,282.94,319.54,290.61,415.09,395.69,379.25,326.07,317.57,366.08
2005-07-01,470.47,346.23,540.0,380.06,293.45,373.92,290.37,303.33,311.96,626.37,292.63,282.51,319.22,290.31,414.71,395.43,379.12,325.66,317.25,365.63
2005-08-01,470.47,346.23,540.0,380.06,293.45,373.92,290.37,303.33,311.96,626.37,292.63,282.51,319.22,290.31,414.71,395.43,379.12,325.66,317.25,365.63
2005-09-01,470.26,345.84000000000003,539.2,379.17,292.83,373.04,289.81,302.09,311.14,626.01,291.1,281.27,318.63,289.27,414.04,394.76,378.78,324.92,316.52,364.62
2005-10-01,470.17,345.99,539.34,378.89,293.01,372.76,289.52,301.57,310.95,625.91,290.54,281.02,318.5,289.04,414.1011428571429,394.48,378.61,324.79,316.37,364.48
2005-11-01,470.49666666666667,346.0433333333334,539.9033333333334,378.7866666666667,293.2466666666667,372.8133333333334,289.42,301.7066666666667,311.2166666666667,626.06,290.5133333333334,281.23,318.5433333333334,289.2333333333334,414.1622857142858,394.44,378.7966666666667,324.88,316.5333333333334,364.6933333333334
2005-12-01,470.8233333333334,346.0966666666667,540.4666666666667,378.6833333333334,293.4833333333334,372.8666666666667,289.32,301.8433333333334,311.4833333333334,626.21,290.4866666666667,281.44,318.5866666666667,289.4266666666667,414.2234285714286,394.4,378.9833333333334,324.97,316.6966666666667,364.9066666666667
2006-01-01,471.15,346.15,541.03,378.58,293.72,372.92,289.22,301.98,311.75,626.36,290.46,281.65,318.63,289.62,414.2845714285715,394.36,379.17,325.06,316.86,365.12
2006-02-01,471.51,346.40999999999997,541.44,378.86,294.18,373.39,289.6,302.26,312.29,626.59,291.58,282.14,318.74,289.94,414.3457142857143,394.76,379.7,325.16,317.28,365.76
2006-03-01,472.39,346.7,542.04,379.15,294.68,373.65999999999997,290.22,302.58,312.74,626.83,291.99,282.79,318.87,290.27,414.4068571428572,395.3,380.7,325.29,317.4,366.18
2006-04-01,474.11,347.02,542.55,379.36,294.87,373.93,290.73,303.04,313.04,627.04,292.61,283.05,318.97,290.49,414.468,395.61,379.92,325.51,317.5,366.31
2006-05-01,473.98,346.93,542.47,379.35,294.85,373.93,290.9,303.16,313.03,627.18,292.64,283.05,318.98,290.62,414.5291428571429,395.72,380.15,325.5,317.45,366.33
2006-06-01,473.51,346.57,542.0699999999999,379.14,294.6,373.76,290.76,302.93,312.83,627.15,292.32,282.83,318.9,290.52,414.5902857142858,395.59,380.09000000000003,325.37,317.33,366.13
2006-07-01,473.08,345.97,541.58,378.82,294.03,373.44,290.65,302.65,312.66,626.97,291.96,282.37,318.75,290.26,414.6514285714286,395.38,379.75,325.16,317.13,365.54
2006-08-01,472.42,345.38,540.99,378.25,293.27,373.11,290.43,302.33,312.53,626.74,291.63,281.92,318.61,289.95,414.7125714285715,395.07,379.44,324.94,316.76,365.14
2006-09-01,471.71,345.13,540.39,377.8,292.64,372.94,290.05,302.04,312.42,626.41,291.27,281.7,318.47,289.69,414.7737142857143,394.77,379.27,324.8,316.5,364.95
2006-10-01,471.78,345.27,540.33,377.57,292.78,372.77,289.66,301.75,312.14,626.19,290.87,281.55,318.29,289.27,414.8348571428572,394.39,379.02,324.71,316.32,364.81
2006-11-01,472.39,345.84000000000003,540.83,377.59000000000003,293.36,372.76,289.56,301.79,312.08,626.26,290.88,281.71,318.29,289.18,414.896,394.32,379.02,324.79,316.29,364.93
2006-12-01,472.73,346.08,541.11,377.83,293.61,372.98,289.72,302.03,312.31,626.41,291.13,281.95,318.39,289.37,414.9571428571429,394.62,379.1,324.93,316.46,365.14
2007-01-01,472.92,346.24,541.22,378.18,293.84,373.82,289.98,296.43,312.59,626.51,291.51,282.24,318.46,289.65,415.0182857142858,394.91,379.19,325.07,316.6,365.34000000000003
2007-02-01,473.31,346.52,541.49,378.35,294.28,373.3,290.36,302.59,312.88,626.73,291.95,282.52,318.67,289.85,415.0794285714286,395.16,379.38,325.52,316.77,365.69
2007-03-01,473.68,346.69,541.65,378.6,294.65,373.47,290.63,302.88,313.25,626.89,292.41,282.71,318.85,290.05,415.1405714285715,395.44,379.55,325.76,316.95,366.05
2007-04-01,474.0,346.82,541.76,378.74,294.91,373.67,290.96,303.22,313.57,626.98,292.79,282.91,318.96,290.24,415.2017142857143,395.82,379.87,325.9,317.05,366.40999999999997
2007-05-01,473.94,346.81,541.72,378.69,294.92,373.7,291.12,303.3,313.59,627.07,292.76,282.89,318.89,290.26,415.26285714285723,395.82,379.96,325.77,317.04,366.40999999999997
2007-06-01,473.64,346.62,541.55,378.52,294.68,373.48,291.01,302.98,313.33,627.05,292.21,282.58,318.67,289.85,415.324,395.6,379.81,325.59,316.96,366.13
2007-07-01,473.33,352.39,541.36,378.24,294.29,373.23,290.81,302.4,312.86,626.88,291.29,282.24,318.52,289.55,415.3851428571429,395.23,379.52,325.35,316.84,365.83
2007-08-01,472.98,345.92,541.1,378.04,293.78,373.05,290.53,302.05,312.48,626.51,290.61,281.75,318.42,289.29,415.4462857142858,394.91,379.25,325.01,316.68,365.58
2007-09-01,472.79,345.51,540.94,377.6,293.33,372.49,290.08,301.76,312.16,625.61,290.06,281.08,318.17,288.89,415.5074285714286,394.33,378.53,324.78,316.29,365.09000000000003
2007-10-01,472.7,345.15,540.8,376.81,293.12,372.13,289.58,301.46,311.92,625.18,289.75,280.77,317.9,288.55,415.5685714285715,394.04,377.88,324.54,316.08,364.81
2007-11-01,472.77,344.98,540.84,376.5,293.16,371.96,289.51,301.47,311.91,625.61,289.79,280.81,317.86,288.56,415.6297142857143,394.47,377.92,324.55,316.11,364.87
2007-12-01,472.94,345.06,540.94,376.4,293.25,371.86,289.61,301.77,312.08,624.94,290.07,280.96,317.94,288.73,415.6908571428572,394.13,378.07,324.67,316.23,365.03
2008-01-01,473.07,345.15999999999997,540.9,376.27,293.41,371.89,289.71,301.71,312.28,624.79,290.47,281.38,318.02,288.9,415.752,394.22,378.25,324.77,316.4,365.23
2008-02-01,473.24,345.25,540.91,376.11,293.72,371.99,289.79,302.25,312.53,624.66,290.73,281.74,318.12,289.05,415.8131428571429,394.32,378.38,324.83,316.54,365.34000000000003
2008-03-01,473.42,345.42,540.79,375.97,294.06,372.23,289.83,302.47,312.27,624.6,290.93,281.95,318.22,289.26,415.8742857142858,394.46,378.49,324.9,316.59,365.45
2008-04-01,473.36,345.28,540.56,375.89,294.03,372.21,289.81,302.49,312.57,624.58,290.95,281.96,318.19,289.3,415.9354285714286,394.49,378.49,324.89,316.46,365.46
2008-05-01,473.14,345.03,540.33,375.83,293.81,372.18,289.78,302.33,312.38,624.51,290.89,281.82,318.12,289.09,415.9965714285715,394.44,378.44,324.83,316.23,365.37
2008-06-01,472.92,344.75,540.11,375.71,293.45,372.13,289.66,302.0,311.9,624.14,290.79,281.63,318.02,288.97,416.0577142857143,394.22,378.06,324.71,316.0,365.05
2008-07-01,472.68,344.42,539.83,375.46,293.01,371.97,289.38,300.83,310.88,623.14,289.63,280.8,317.8,288.47,416.1188571428572,393.86,377.57,324.48,315.48,364.48
2008-08-01,472.42,344.18,539.52,375.34000000000003,292.65,371.74,288.89,300.36,310.16,622.61,288.94,280.4,317.57,287.99,416.18,393.88,377.04,324.04,315.06,363.99
2008-09-01,472.1,343.89,539.14,375.27,292.21,371.32,288.51,300.2,309.92,621.72,288.63,280.23,317.2,287.77,416.07,393.57,376.68,323.64,314.88,363.59000000000003
2008-10-01,471.78,343.6,538.73,375.2,291.82,370.76,288.0,299.91,309.74,620.87,288.42,280.01,316.85,287.61,415.75,393.09,376.1,323.07,314.76,363.0
2008-11-01,471.53,343.34000000000003,538.34,375.1,291.86,370.3,287.94,299.87,309.71,620.71,288.53,279.99,316.74,287.6,415.59,392.94,376.06,323.14,314.76,362.9
2008-12-01,471.33,343.4,537.89,375.03,292.12,370.04,288.04,300.08,309.81,620.63,288.89,280.26,316.82,287.87,415.5,392.87,376.13,323.27,314.9,363.04
2009-01-01,471.14,343.85,537.46,375.18,292.42,370.09000000000003,288.14,300.39,309.95,620.66,289.33,280.42,316.87,288.04,415.51,392.93,376.2900000000001,323.37,315.06,363.15999999999997
2009-02-01,470.76,344.03,537.16,375.40999999999997,292.65,370.28,288.35,300.64,310.15,620.79,289.62,280.63,316.94,288.29,411.58,393.16,376.45,323.47,315.15,363.28
2009-03-01,470.86,343.93,536.77,375.63,293.04,370.42,288.46,300.87,310.37,620.86,289.85,280.74,316.99,288.4,415.64,393.32,376.63,323.62,315.26,363.43
2009-04-01,470.81,343.9,536.47,375.89,293.1,370.54,288.55,301.12,310.61,620.92,290.18,280.98,317.03,288.54,411.58,393.66,376.76,323.74,315.32,363.53
2009-05-01,470.56,343.7,521.9,375.90999999999997,292.85,370.49,288.53,301.15,310.57,620.79,290.29,280.97,317.01,288.51,413.48,393.69,376.78,323.75,315.26,363.49
2009-06-01,470.28,343.52,536.03,375.79,292.56,370.2,288.23,300.88,310.19,620.4,289.97,280.74,316.93,288.19,415.38,393.44,376.68,323.63,315.09,363.17
2009-07-01,469.99,343.31,535.67,375.45,292.23,369.94,287.45,299.48,308.72,619.85,288.55,279.83,316.69,287.51,415.19,393.02,376.42,322.99,313.91,362.39
2009-08-01,468.28,342.93,535.36,374.9,291.81,369.48,286.92,298.98,307.90999999999997,619.54,287.46,279.38,316.28,287.08,415.06,392.77,375.83,322.48,313.46,361.6
2009-09-01,468.28,342.93,535.36,374.61,291.81,368.99,286.71,298.91,307.79,619.33,287.01,279.3,316.12,286.95,415.02,392.52,375.47,322.35,313.43,361.17
2009-10-01,465.52,342.01,534.79,374.3,291.45,367.21,286.53,298.72,307.72,619.15,286.66,279.21,315.87,286.8,414.82,392.19,375.12,322.15,313.33,360.88
2009-11-01,464.86,341.71,534.56,374.01,291.11,366.71,286.43,298.59,307.64,618.93,286.54,279.13,315.61,286.68,414.71,391.94,374.90999999999997,322.01,313.12,360.67
2009-12-01,465.02,342.3,534.72,373.89,291.57,366.65,286.18,299.11,307.87,618.59,287.02,279.27,315.72,286.79,414.56,391.65,375.13,322.03,313.13,360.72
2010-01-01,465.35,342.85,535.0699999999999,375.11,292.11,371.86,286.04,299.58,308.25,618.22,289.38,279.63,315.68,287.18,414.34,392.18,376.28,321.8,314.13,361.75
2010-02-01,465.69,343.03,535.3,375.25,292.62,372.01,287.82,300.39,308.39,618.38,289.79,280.43,315.87,287.38,414.45,392.51,376.8,322.03,314.49,361.97
2010-03-01,465.96,343.22,535.4300000000001,376.01,293.0,372.57,288.15,301.54,309.72,619.25,290.45,281.14,316.77,288.21,415.25,393.4,377.43,324.62,315.1,363.01
2010-04-01,465.83,342.7,535.4,375.8,293.04,372.7,288.6,301.72,310.58,620.25,291.02,281.72,317.05,288.59,415.56,393.76,377.72,323.78,315.37,363.56
2010-05-01,465.64,342.62,535.22,375.72,292.89,371.83,288.84,301.57,310.17,620.21,290.15,281.17,316.84,288.4,415.37,393.6,377.61,323.62,315.16,363.44
2010-06-01,465.37,342.46,534.94,375.59000000000003,292.62,371.61,288.24,301.39,309.8,620.14,289.99,280.94,316.7,288.2,415.29,393.39,377.46,323.54,315.01,363.32
2010-07-01,464.93,342.23,534.71,375.59000000000003,292.37,371.61,288.24,301.39,309.8,620.14,289.99,280.94,316.7,288.2,415.29,393.39,377.46,323.54,315.01,365.32
2010-08-01,469.56,342.02,534.45,374.98,292.08,370.39,287.81,301.07,308.38,619.51,289.07,280.48,316.45,287.68,415.03,392.84,377.13,322.74,314.65,362.92
2010-09-01,464.26,341.8,534.1800000000001,374.81,291.83,370.12,287.68,300.93,307.98,619.35,288.94,280.37,316.31,287.41,414.98,392.68,376.90999999999997,322.37,314.5,362.74
2010-10-01,463.98,341.62,533.97,374.61,291.7,369.94,287.53,300.73,307.77,619.2,288.82,280.19,316.11,287.25,414.88,392.57,376.74,322.27,314.37,362.51
