no,well_name,sub_district,basin,depth_m,geological_formation,gps_coor_utm_x,gps_coor_utm_y,elevation_m,latitude,longitude
W1,shawais/1,kasnazan,middle,134,Recent deposit+bakhtiary,417583,4012229,518,36.251453,44.082643
W2,sebirany gawra,rzgare,middle,183,Recent deposit+bakhtiary,402134,4012027,380,36.24819,43.910736
W3,kasnazan/10 ,kasnazan,middle,203,Recent deposit+bakhtiary,422639,4007342,627,36.207817,44.139397
W4,daratw \18,daratu,middle,150,Recent deposit+bakhtiary,412561,3998602,433,36.128172,44.028271
W5,khazna /1,shamamk,middle,142,Recent deposit+bakhtiary,391541,3997363,311,36.114882,43.794883
W6,grda rasha \4 badel,daratu,middle,300,Recent deposit+bakhtiary,411968,3995054,422,36.096136,44.022078
W7,qoritan chukul,shamamk,middle,200,Recent deposit+bakhtiary,405405,3993247,317,36.07923,43.949399
W8,tandura\1,shamamk,middle,140,Recent deposit+bakhtiary,395403,3993029,315,36.076239,43.838362
W9,daldaghan,shamamk,middle,197,Recent deposit+bakhtiary,399524,3992646,341,36.073222,43.88417
W10,lajan,qushtapa,middle,189,Recent deposit+bakhtiary,427209,3990636,640,36.05757,44.191777
W11,mastawa badel,shamamk,middle,250,Recent deposit+bakhtiary,393525,3989963,308,36.048399,43.817923
W12,shekhsherwan,shamamk,middle,100,Recent deposit+bakhtiary,385953,3989337,293,36.041898,43.733967
W13,perdawd badel,shamamk,middle,194,Recent deposit+bakhtiary,403046,3986980,340,36.022505,43.923973
W14,grd azaban,shamamk,middle,140,Recent deposit+bakhtiary,394916,3985193,303,36.005553,43.833997
W15,kardz (new),qushtapa,middle,117,Recent deposit+bakhtiary,419811,3983589,444,35.99346,44.110357
W16,grd mala \3,qushtapa,middle,162,Recent deposit+bakhtiary,415045,3982303,423,35.981464,44.057626
W17,qushtapa \12 badel,qushtapa,middle,175,Recent deposit+bakhtiary,413469,3982303,413,35.981325,44.040146
W18,dugrtkan,qushtapa,middle,153,Recent deposit+bakhtiary,405007,3981457,350,35.972911,43.946396
W19,mnara,shamamk,middle,84,Recent deposit+bakhtiary,399676,3981161,333,35.969709,43.887315
W20,qultapa yaba,qushtapa,middle,190,Recent deposit+bakhtiary,412812,3979755,402,35.958297,44.033139
